Host Since,Host Response Time,Host Response Rate,Host Verifications,Property Type,Room Type,Accommodates,Bathrooms,Bedrooms,Beds,Bed Type,Amenities,Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Availability 60,Availability 365,Number of Reviews,Last Review,Review Scores Rating,Review Scores Location,Cancellation Policy,Calculated host listings count,Reviews per Month
2672,3.0,100.0,4.0,15,0,2,1.0,1.0,1.0,1,23.0,58.0,100.0,0.0,1,0,2,1125,34,281,42,2291.0,98.0,10.0,1,1.0,3.5
2401,3.0,100.0,4.0,0,0,4,1.0,1.0,1.0,1,7.0,70.0,200.0,40.0,2,44,1,1125,21,309,1,2284.0,80.0,8.0,2,106.0,0.86
2401,3.0,100.0,4.0,0,0,4,1.0,1.0,1.0,1,7.0,70.0,200.0,60.0,2,42,1,1125,21,291,0,3954.0,92.0,10.0,2,106.0,0.0
4760,3.0,100.0,7.0,0,0,8,2.0,3.0,4.0,1,24.0,229.0,250.0,79.0,2,39,2,1125,24,316,13,2287.0,92.0,10.0,2,24.0,1.09
2702,3.0,99.0,4.0,0,0,5,1.0,2.0,2.0,1,12.0,149.0,0.0,55.0,1,0,2,1125,0,7,0,3954.0,92.0,10.0,0,92.0,0.0
2702,3.0,99.0,4.0,0,0,6,1.0,2.0,3.0,1,9.0,106.0,0.0,0.0,1,0,2,1125,2,4,0,3954.0,92.0,10.0,2,92.0,0.0
3636,1.0,100.0,3.0,0,0,5,2.0,3.0,4.0,1,22.0,52.0,300.0,60.0,4,25,3,365,11,280,43,2447.0,90.0,9.0,2,1.0,1.22
3988,3.0,100.0,4.0,0,1,2,1.0,1.0,1.0,1,17.0,45.0,300.0,30.0,1,20,3,7,38,66,29,2274.0,96.0,10.0,0,1.0,0.64
2702,3.0,99.0,4.0,0,0,6,2.0,2.0,3.0,1,9.0,80.0,0.0,0.0,1,0,2,1125,0,2,1,2340.0,80.0,8.0,2,92.0,0.33
2983,2.0,100.0,4.0,14,0,6,2.0,3.0,3.0,1,24.0,795.0,0.0,250.0,1,0,3,1125,51,356,1,2822.0,100.0,10.0,2,1.0,0.06
2902,1.0,100.0,2.0,0,1,2,1.0,1.0,1.0,1,11.0,100.0,0.0,0.0,1,0,2,1125,1,1,6,2417.0,87.0,10.0,1,1.0,0.63
3457,0.0,0.0,5.0,0,0,2,1.0,1.0,1.0,1,18.0,64.0,0.0,0.0,1,0,60,1125,3,308,7,2525.0,97.0,10.0,2,1.0,0.43
2401,3.0,100.0,4.0,0,0,4,1.0,1.0,1.0,1,8.0,90.0,300.0,60.0,2,42,1,1125,33,326,0,3954.0,92.0,10.0,2,106.0,0.0
2702,3.0,99.0,4.0,0,0,4,1.0,2.0,3.0,1,8.0,94.0,0.0,0.0,1,0,2,1125,0,0,1,2326.0,60.0,10.0,2,92.0,0.39
3759,1.0,90.0,4.0,0,0,3,2.0,1.0,1.0,1,11.0,115.0,0.0,20.0,2,20,1,30,0,98,9,2270.0,98.0,10.0,0,1.0,0.99
4760,3.0,100.0,7.0,0,0,8,2.0,3.0,4.0,1,25.0,169.0,250.0,79.0,2,39,1,90,33,322,90,2347.0,91.0,10.0,2,24.0,1.97
2702,3.0,99.0,4.0,0,0,4,1.0,2.0,3.0,1,9.0,94.0,0.0,0.0,1,0,2,1125,0,0,4,2270.0,93.0,10.0,2,92.0,0.75
3119,3.0,100.0,4.0,0,1,1,1.0,1.0,1.0,1,16.0,200.0,0.0,0.0,1,0,3,5,39,70,1,2287.0,100.0,10.0,2,1.0,0.79
4376,2.0,100.0,5.0,0,0,4,1.0,2.0,2.0,1,14.0,65.0,150.0,20.0,1,15,1,1125,6,63,50,2257.0,93.0,10.0,2,1.0,3.63
2651,2.0,100.0,3.0,8,1,2,1.0,1.0,1.0,1,14.0,24.0,0.0,5.0,16,10,1,1125,5,132,5,2496.0,96.0,10.0,0,1.0,0.55
3043,2.0,100.0,4.0,0,1,2,2.0,1.0,1.0,1,18.0,40.0,0.0,5.0,1,15,1,1125,60,365,0,3954.0,92.0,10.0,0,2.0,0.0
4114,3.0,100.0,6.0,0,0,2,1.0,1.0,1.0,1,20.0,129.0,300.0,20.0,1,0,2,1125,12,314,30,2372.0,88.0,10.0,2,5.0,1.12
2541,0.0,0.0,3.0,0,0,4,2.0,2.0,3.0,1,16.0,185.0,500.0,30.0,1,0,1,1125,0,0,1,2481.0,100.0,10.0,1,1.0,0.13
2702,3.0,99.0,4.0,0,0,4,1.0,2.0,3.0,1,7.0,188.0,300.0,0.0,1,0,2,1125,0,0,1,2557.0,100.0,10.0,2,92.0,0.1
2702,3.0,99.0,4.0,0,0,4,1.0,1.0,1.0,1,8.0,90.0,0.0,0.0,1,0,2,3,2,4,2,2270.0,100.0,9.0,2,92.0,0.45
3076,1.0,100.0,4.0,0,0,4,1.0,2.0,2.0,1,13.0,55.0,250.0,75.0,2,7,6,1125,2,259,12,2357.0,97.0,10.0,2,1.0,0.46
2645,3.0,100.0,3.0,0,0,8,2.0,3.0,4.0,1,21.0,100.0,0.0,50.0,4,15,1,1125,13,73,17,2267.0,84.0,10.0,2,1.0,4.08
4760,3.0,100.0,7.0,0,0,8,2.0,3.0,4.0,1,19.0,229.0,250.0,79.0,2,39,1,1125,21,311,15,2305.0,89.0,10.0,2,24.0,1.18
2702,3.0,99.0,4.0,0,0,4,1.0,1.0,1.0,1,9.0,106.0,0.0,0.0,1,0,2,1125,0,0,2,2270.0,60.0,6.0,2,92.0,0.48
3352,3.0,100.0,3.0,0,0,4,1.0,1.0,2.0,1,16.0,100.0,150.0,25.0,1,20,4,1125,46,346,27,2415.0,89.0,10.0,0,1.0,2.63
4351,3.0,100.0,5.0,0,0,4,1.0,2.0,3.0,1,22.0,79.0,250.0,40.0,2,0,5,1125,10,252,55,2319.0,94.0,9.0,2,1.0,1.55
